fixture_id,match_date,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,outcome,total_goals,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_form,away_form,home_avg_goals_for,home_avg_goals_against,away_avg_goals_for,away_avg_goals_against,home_clean_sheets,away_clean_sheets
863401,2022-09-03T15:00:00+00:00,2022,2nd Phase - 17,446,Lanus,452,Tigre,1,2,A,3,27,7,21,43,-18,9,DLLLL,LWWWD,0.95,1.1,1.3043478260869565,1.391304347826087,6,5
863396,2022-09-03T16:00:00+00:00,2022,2nd Phase - 17,437,Rosario Central,456,Talleres Cordoba,1,0,H,1,20,13,32,35,-4,2,DWDDD,WDWLW,1.0476190476190477,0.9047619047619048,0.6,1.2,8,3
863404,2022-09-03T18:30:00+00:00,2022,2nd Phase - 17,438,Velez Sarsfield,457,Newells Old Boys,0,1,A,1,26,11,28,40,-3,4,WLWWL,DWLWD,1.4,0.8,1.0,1.0952380952380953,7,7
863406,2022-09-03T18:30:00+00:00,2022,2nd Phase - 17,463,Aldosivi,474,Sarmiento Junin,1,2,A,3,28,21,16,32,-32,-5,LLLLW,DLLDD,0.85,1.35,0.7142857142857143,1.1904761904761905,5,6
863395,2022-09-03T21:00:00+00:00,2022,2nd Phase - 17,436,Racing Club,458,Argentinos JRS,1,0,H,1,2,8,50,42,17,9,LWWWD,WDDDW,1.8636363636363635,0.6363636363636364,1.35,1.1,14,7
863405,2022-09-03T23:30:00+00:00,2022,2nd Phase - 17,434,Gimnasia L.P.,453,Independiente,3,1,H,4,9,14,41,35,8,0,LLDLW,DWDLL,1.3,0.7,1.1428571428571428,1.4285714285714286,10,5
863393,2022-09-04T18:30:00+00:00,2022,2nd Phase - 17,444,Patronato,441,Union Santa Fe,0,0,D,0,10,22,40,32,4,-8,WWWLL,LDDLW,1.0476190476190477,1.0476190476190477,0.9047619047619048,1.2857142857142858,8,3
863394,2022-09-04T18:30:00+00:00,2022,2nd Phase - 17,1064,Platense,450,Estudiantes L.P.,0,0,D,0,19,18,32,33,-2,-12,DLLLL,WLLWL,0.8095238095238095,0.7619047619047619,1.25,1.95,9,3
863399,2022-09-04T21:00:00+00:00,2022,2nd Phase - 17,448,Colon Santa Fe,451,Boca Juniors,1,2,A,3,25,1,29,52,-12,6,DLLWW,DWLWW,1.0952380952380953,1.4761904761904763,1.1,0.85,4,9
863400,2022-09-04T23:30:00+00:00,2022,2nd Phase - 17,435,River Plate,2432,Barracas Central,2,0,H,2,3,17,47,34,21,-6,WLWWW,DWDDL,1.9047619047619047,1.0476190476190477,0.95,1.6,6,3
863403,2022-09-05T22:00:00+00:00,2022,2nd Phase - 17,439,Godoy Cruz,459,Arsenal Sarandi,1,0,H,1,15,23,35,30,-4,-1,LLDLD,WLWLD,1.1,0.85,1.0476190476190477,1.2857142857142858,8,4
863397,2022-09-05T22:00:00+00:00,2022,2nd Phase - 17,442,Defensa Y Justicia,460,San Lorenzo,0,0,D,0,12,6,40,43,2,10,WWWDD,WWWWD,1.3333333333333333,1.0,1.05,0.85,6,9
863398,2022-09-06T00:30:00+00:00,2022,2nd Phase - 17,455,Atletico Tucuman,449,Banfield,0,0,D,0,5,24,46,30,10,-6,LDDLW,DLWLL,1.4761904761904763,1.0,0.85,0.8,8,10
863408,2022-09-08T21:00:00+00:00,2022,2nd Phase - 18,453,Independiente,463,Aldosivi,3,0,H,3,14,28,35,16,0,-32,DWDLL,LLLLW,1.2,0.95,0.7272727272727273,1.9090909090909092,7,4
863407,2022-09-08T23:30:00+00:00,2022,2nd Phase - 18,441,Union Santa Fe,474,Sarmiento Junin,1,0,H,1,22,21,32,32,-8,-5,LDDLW,DLLDD,1.0,1.1,0.7142857142857143,1.1904761904761905,9,6
863418,2022-09-08T23:30:00+00:00,2022,2nd Phase - 18,458,Argentinos JRS,437,Rosario Central,2,1,H,3,8,20,42,32,9,-4,WDDDW,DWDDD,1.2857142857142858,0.8571428571428571,0.9,1.45,7,5
863413,2022-09-09T18:30:00+00:00,2022,2nd Phase - 18,2432,Barracas Central,446,Lanus,2,0,H,2,17,27,34,21,-6,-18,DWDDL,DLLLL,1.380952380952381,1.380952380952381,0.9523809523809523,1.7142857142857142,3,2
863420,2022-09-09T21:00:00+00:00,2022,2nd Phase - 18,444,Patronato,1064,Platense,1,0,H,1,10,19,40,32,4,-2,WWWLL,DLLLL,1.0476190476190477,1.0476190476190477,0.9,1.6,8,3
863419,2022-09-09T23:30:00+00:00,2022,2nd Phase - 18,450,Estudiantes L.P.,436,Racing Club,1,0,H,1,18,2,33,50,-12,17,WLLWL,LWWWD,1.7142857142857142,1.0,1.5,1.0,7,8
863412,2022-09-09T23:30:00+00:00,2022,2nd Phase - 18,452,Tigre,445,Huracan,1,1,D,2,7,4,43,47,9,14,LWWWD,LWWDW,1.5,0.8,0.9523809523809523,1.0952380952380953,8,7
863411,2022-09-10T18:30:00+00:00,2022,2nd Phase - 18,1065,Central Cordoba de Santiago,439,Godoy Cruz,3,0,H,3,16,15,34,35,-3,-4,LWLLL,LLDLD,1.35,1.55,1.1428571428571428,1.7142857142857142,6,2
863416,2022-09-10T21:00:00+00:00,2022,2nd Phase - 18,460,San Lorenzo,455,Atletico Tucuman,1,1,D,2,6,5,43,46,10,10,WWWWD,LDDLW,1.2857142857142858,1.0952380952380953,0.7,1.2,6,6
863415,2022-09-10T23:30:00+00:00,2022,2nd Phase - 18,449,Banfield,448,Colon Santa Fe,2,1,H,3,24,25,30,29,-6,-12,DLWLL,DLLWW,1.1428571428571428,1.3333333333333333,0.95,1.2,4,3
863409,2022-09-11T16:00:00+00:00,2022,2nd Phase - 18,457,Newells Old Boys,434,Gimnasia L.P.,2,0,H,2,11,9,40,41,4,8,DWLWD,LLDLW,1.1,0.7,1.1428571428571428,1.1428571428571428,12,8
863410,2022-09-11T16:00:00+00:00,2022,2nd Phase - 18,459,Arsenal Sarandi,438,Velez Sarsfield,2,2,D,4,23,26,30,28,-1,-3,WLWLD,WLWWL,1.3,1.05,0.7142857142857143,1.380952380952381,6,2
863414,2022-09-11T20:00:00+00:00,2022,2nd Phase - 18,451,Boca Juniors,435,River Plate,1,0,H,1,1,3,52,47,6,21,DWLWW,WLWWW,1.565217391304348,0.9565217391304348,1.6666666666666667,0.6666666666666666,8,10
863417,2022-09-11T23:00:00+00:00,2022,2nd Phase - 18,456,Talleres Cordoba,442,Defensa Y Justicia,1,0,H,1,13,12,35,40,2,2,WDWLW,WWWDD,1.1904761904761905,1.0952380952380953,1.2857142857142858,1.2857142857142858,8,3
863434,2022-09-12T20:00:00+00:00,2022,2nd Phase - 19,474,Sarmiento Junin,453,Independiente,1,2,A,3,21,14,32,35,-5,0,DLLDD,DWDLL,1.45,1.55,1.1428571428571428,1.4285714285714286,5,5
863430,2022-09-13T22:00:00+00:00,2022,2nd Phase - 19,439,Godoy Cruz,452,Tigre,1,1,D,2,15,7,35,43,-4,9,LLDLD,LWWWD,1.1,0.85,1.3043478260869565,1.391304347826087,8,5
863429,2022-09-13T22:00:00+00:00,2022,2nd Phase - 19,445,Huracan,2432,Barracas Central,1,1,D,2,4,17,47,34,14,-6,LWWDW,DWDDL,1.6,0.85,0.95,1.6,9,3
863422,2022-09-14T00:30:00+00:00,2022,2nd Phase - 19,436,Racing Club,444,Patronato,1,0,H,1,2,10,50,40,17,4,LWWWD,WWWLL,1.8636363636363635,0.6363636363636364,0.95,1.5,14,3
863421,2022-09-14T00:30:00+00:00,2022,2nd Phase - 19,1064,Platense,441,Union Santa Fe,1,0,H,1,19,22,32,32,-2,-8,DLLLL,LDDLW,0.8095238095238095,0.7619047619047619,0.9047619047619048,1.2857142857142858,9,3
863433,2022-09-14T17:00:00+00:00,2022,2nd Phase - 19,463,Aldosivi,457,Newells Old Boys,1,2,A,3,28,11,16,40,-32,4,LLLLW,DWLWD,0.85,1.35,1.0,1.0952380952380953,5,7
863426,2022-09-14T19:30:00+00:00,2022,2nd Phase - 19,448,Colon Santa Fe,460,San Lorenzo,0,0,D,0,25,6,29,43,-12,10,DLLWW,WWWWD,1.0952380952380953,1.4761904761904763,1.05,0.85,4,9
863427,2022-09-14T22:00:00+00:00,2022,2nd Phase - 19,435,River Plate,449,Banfield,1,2,A,3,3,24,47,30,21,-6,WLWWW,DLWLL,1.9047619047619047,1.0476190476190477,0.85,0.8,6,10
863428,2022-09-15T00:30:00+00:00,2022,2nd Phase - 19,446,Lanus,451,Boca Juniors,0,1,A,1,27,1,21,52,-18,6,DLLLL,DWLWW,0.95,1.1,1.1,0.85,6,9
863423,2022-09-15T22:00:00+00:00,2022,2nd Phase - 19,437,Rosario Central,450,Estudiantes L.P.,1,1,D,2,20,18,32,33,-4,-12,DWDDD,WLLWL,1.0476190476190477,0.9047619047619048,1.25,1.95,8,3
863424,2022-09-15T22:00:00+00:00,2022,2nd Phase - 19,442,Defensa Y Justicia,458,Argentinos JRS,2,1,H,3,12,8,40,42,2,9,WWWDD,WDDDW,1.3333333333333333,1.0,1.35,1.1,6,7
863432,2022-09-16T00:30:00+00:00,2022,2nd Phase - 19,434,Gimnasia L.P.,459,Arsenal Sarandi,2,0,H,2,9,23,41,30,8,-1,LLDLW,WLWLD,1.3,0.7,1.0476190476190477,1.2857142857142858,10,4
863425,2022-09-16T00:30:00+00:00,2022,2nd Phase - 19,455,Atletico Tucuman,456,Talleres Cordoba,1,1,D,2,5,13,46,35,10,2,LDDLW,WDWLW,1.4761904761904763,1.0,0.6,1.2,8,3
863440,2022-09-17T18:30:00+00:00,2022,2nd Phase - 20,2432,Barracas Central,439,Godoy Cruz,3,1,H,4,17,15,34,35,-6,-4,DWDDL,LLDLD,1.380952380952381,1.380952380952381,1.1428571428571428,1.7142857142857142,3,2
863436,2022-09-17T23:30:00+00:00,2022,2nd Phase - 20,457,Newells Old Boys,474,Sarmiento Junin,0,1,A,1,11,21,40,32,4,-5,DWLWD,DLLDD,1.1,0.7,0.7142857142857143,1.1904761904761905,12,6
863439,2022-09-18T16:00:00+00:00,2022,2nd Phase - 20,452,Tigre,438,Velez Sarsfield,2,0,H,2,7,26,43,28,9,-3,LWWWD,WLWWL,1.5,0.8,0.7142857142857143,1.380952380952381,8,2
863443,2022-09-18T18:30:00+00:00,2022,2nd Phase - 20,460,San Lorenzo,435,River Plate,0,1,A,1,6,3,43,47,10,21,WWWWD,WLWWW,1.2857142857142858,1.0952380952380953,1.6666666666666667,0.6666666666666666,6,10
863442,2022-09-18T21:00:00+00:00,2022,2nd Phase - 20,449,Banfield,446,Lanus,1,2,A,3,24,27,30,21,-6,-18,DLWLL,DLLLL,1.1428571428571428,1.3333333333333333,0.9523809523809523,1.7142857142857142,4,2
863444,2022-09-18T23:30:00+00:00,2022,2nd Phase - 20,456,Talleres Cordoba,448,Colon Santa Fe,2,0,H,2,13,25,35,29,2,-12,WDWLW,DLLWW,1.1904761904761905,1.0952380952380953,0.95,1.2,8,3
863448,2022-09-18T23:30:00+00:00,2022,2nd Phase - 20,1064,Platense,436,Racing Club,0,1,A,1,19,2,32,50,-2,17,DLLLL,LWWWD,0.8095238095238095,0.7619047619047619,1.5,1.0,9,8
863437,2022-09-19T19:30:00+00:00,2022,2nd Phase - 20,459,Arsenal Sarandi,463,Aldosivi,3,0,H,3,23,28,30,16,-1,-32,WLWLD,LLLLW,1.3,1.05,0.7272727272727273,1.9090909090909092,6,4
863435,2022-09-19T22:00:00+00:00,2022,2nd Phase - 20,441,Union Santa Fe,453,Independiente,0,1,A,1,22,14,32,35,-8,0,LDDLW,DWDLL,1.0,1.1,1.1428571428571428,1.4285714285714286,9,5
863441,2022-09-19T22:00:00+00:00,2022,2nd Phase - 20,451,Boca Juniors,445,Huracan,0,0,D,0,1,4,52,47,6,14,DWLWW,LWWDW,1.565217391304348,0.9565217391304348,0.9523809523809523,1.0952380952380953,8,7
863446,2022-09-20T00:30:00+00:00,2022,2nd Phase - 20,450,Estudiantes L.P.,442,Defensa Y Justicia,1,2,A,3,18,12,33,40,-12,2,WLLWL,WWWDD,1.7142857142857142,1.0,1.2857142857142858,1.2857142857142858,7,3
863445,2022-09-20T00:30:00+00:00,2022,2nd Phase - 20,458,Argentinos JRS,455,Atletico Tucuman,1,2,A,3,8,5,42,46,9,10,WDDDW,LDDLW,1.2857142857142858,0.8571428571428571,0.7,1.2,7,6
863447,2022-09-20T21:00:00+00:00,2022,2nd Phase - 20,444,Patronato,437,Rosario Central,0,0,D,0,10,20,40,32,4,-4,WWWLL,DWDDD,1.0476190476190477,1.0476190476190477,0.9,1.45,8,5
863438,2022-09-20T23:30:00+00:00,2022,2nd Phase - 20,1065,Central Cordoba de Santiago,434,Gimnasia L.P.,1,0,H,1,16,9,34,41,-3,8,LWLLL,LLDLW,1.35,1.55,1.1428571428571428,1.1428571428571428,6,8
863457,2022-09-23T22:00:00+00:00,2022,2nd Phase - 21,439,Godoy Cruz,451,Boca Juniors,0,1,A,1,15,1,35,52,-4,6,LLDLD,DWLWW,1.1,0.85,1.1,0.85,8,9
863456,2022-09-23T22:00:00+00:00,2022,2nd Phase - 21,445,Huracan,449,Banfield,3,1,H,4,4,24,47,30,14,-6,LWWDW,DLWLL,1.6,0.85,0.85,0.8,9,10
863451,2022-09-24T16:00:00+00:00,2022,2nd Phase - 21,442,Defensa Y Justicia,444,Patronato,2,1,H,3,12,10,40,40,2,4,WWWDD,WWWLL,1.3333333333333333,1.0,0.95,1.5,6,3
863461,2022-09-24T16:00:00+00:00,2022,2nd Phase - 21,474,Sarmiento Junin,459,Arsenal Sarandi,2,0,H,2,21,23,32,30,-5,-1,DLLDD,WLWLD,1.45,1.55,1.0476190476190477,1.2857142857142858,5,4
863455,2022-09-24T18:30:00+00:00,2022,2nd Phase - 21,446,Lanus,460,San Lorenzo,2,0,H,2,27,6,21,43,-18,10,DLLLL,WWWWD,0.95,1.1,1.05,0.85,6,9
863454,2022-09-24T21:00:00+00:00,2022,2nd Phase - 21,435,River Plate,456,Talleres Cordoba,0,1,A,1,3,13,47,35,21,2,WLWWW,WDWLW,1.9047619047619047,1.0476190476190477,0.6,1.2,6,3
863462,2022-09-24T23:30:00+00:00,2022,2nd Phase - 21,453,Independiente,457,Newells Old Boys,1,0,H,1,14,11,35,40,0,4,DWDLL,DWLWD,1.2,0.95,1.0,1.0952380952380953,7,7
863459,2022-09-25T18:30:00+00:00,2022,2nd Phase - 21,434,Gimnasia L.P.,452,Tigre,0,1,A,1,9,7,41,43,8,9,LLDLW,LWWWD,1.3,0.7,1.3043478260869565,1.391304347826087,10,5
863450,2022-09-25T18:30:00+00:00,2022,2nd Phase - 21,437,Rosario Central,1064,Platense,1,1,D,2,20,19,32,32,-4,-2,DWDDD,DLLLL,1.0476190476190477,0.9047619047619048,0.9,1.6,8,3
